100	3.30E+04	1.83E+04	2.6650	1.4466	200
200	6.77E+04	1.93E+04	2.9250	1.7145	200
300	1.41E+05	4.97E+04	3.2200	1.7781	200
400	1.83E+05	5.62E+04	3.4250	2.1058	200
500	2.64E+05	7.55E+04	3.5600	2.1717	200
600	3.12E+05	8.15E+04	3.5450	2.1790	200
700	3.91E+05	9.87E+04	3.2350	1.6881	200
800	4.61E+05	1.35E+05	3.7000	2.1331	200
900	5.44E+05	1.19E+05	3.4250	2.0699	200
1000	6.26E+05	1.25E+05	3.6700	2.1216	200
1100	7.42E+05	2.00E+05	3.5950	2.1659	200
1200	7.70E+05	1.37E+05	3.5900	1.7384	200
1300	9.02E+05	1.79E+05	3.7250	1.9051	200
1400	9.79E+05	2.35E+05	3.6600	2.1153	200
1500	1.02E+06	1.87E+05	3.5850	2.0574	200
1600	1.17E+06	2.44E+05	3.4400	1.8672	200
1700	1.26E+06	2.61E+05	3.6200	1.7365	200
1800	1.34E+06	2.83E+05	3.5150	1.9999	200
1900	1.44E+06	2.94E+05	3.5000	1.7889	200
2000	1.49E+06	2.84E+05	3.6350	1.9344	200
2100	1.62E+06	2.83E+05	3.5650	1.8777	200
2200	1.76E+06	3.61E+05	3.5850	1.9138	200
2300	1.82E+06	3.36E+05	3.5850	2.1384	200
2400	1.88E+06	3.06E+05	3.3800	1.6696	200
2500	2.02E+06	3.56E+05	3.2700	1.6960	200
2600	2.03E+06	3.19E+05	3.1900	1.9026	200
2700	2.23E+06	4.38E+05	3.5000	1.8540	200
2800	2.32E+06	3.79E+05	3.4450	1.7823	200
2900	2.51E+06	4.87E+05	3.3200	1.8968	200
3000	2.67E+06	4.36E+05	3.4450	1.8938	200
3100	2.66E+06	4.20E+05	3.1750	1.7923	200
3200	2.77E+06	4.75E+05	3.2700	1.8964	200
3300	2.82E+06	4.01E+05	3.5150	1.9012	200
3400	2.93E+06	4.95E+05	3.2750	1.9686	200
3500	3.08E+06	5.03E+05	3.1550	1.8155	200
3600	3.16E+06	5.19E+05	3.2100	1.7454	200
3700	3.27E+06	5.61E+05	3.4050	1.9757	200
3800	3.38E+06	6.28E+05	3.2500	1.8193	200
3900	3.57E+06	6.30E+05	3.2950	1.7613	200
4000	3.61E+06	6.02E+05	3.6200	2.0992	200
4100	3.81E+06	5.62E+05	3.3050	1.7379	200
4200	3.87E+06	6.15E+05	3.0500	1.8395	200
4300	4.12E+06	6.58E+05	3.2600	1.9334	200
4400	4.03E+06	7.07E+05	3.2725	1.9133	400
4500	4.30E+06	6.85E+05	3.3100	1.9338	400
4600	4.38E+06	7.46E+05	3.1550	1.9081	400
4700	4.36E+06	6.63E+05	3.1561	1.5409	205
4800	4.54E+06	6.66E+05	3.2450	1.7806	200
4900	4.65E+06	6.59E+05	3.1050	1.9658	200
5000	4.94E+06	8.12E+05	3.0600	1.8144	200
