100	1115.982659	383.332429	0.7359	0.256854	2.98	0.27552	1.98532	1.38555
200	2713.656805	833.8073227	0.753425	0.278247	3.023	0.160142	2.52733	1.77601
300	3720.527174	1244.541879	0.78835	0.208263	3.032	0.138164	2.38845	1.65408
400	4963.672414	1758.295449	0.7417	0.249539	2.9595	0.116701	2.47221	1.75446
500	7817.293785	2565.48993	0.78263	0.251059	3.0068	0.125547	2.78404	1.99948
600	8542.373626	2559.682388	0.779025	0.228826	2.93233	0.135008	2.63516	1.85004
700	11584.03804	4064.430605	0.810786	0.2059	2.97143	0.0985519	2.85244	2.03345
800	12314.23889	4004.386232	0.780925	0.254979	2.98125	0.0677131	2.77916	1.96948
900	15861.41711	5086.974826	0.817289	0.214489	3.04	0.0715266	3.06397	2.19938
1000	15728.625	4740.788736	0.779135	0.246086	2.984	0.0723203	2.77167	1.93609
1100	19848.65761	5850.264763	0.811718	0.234912	3.02145	0.0558484	3.04217	2.13855
1200	21959.18085	6657.808182	0.837304	0.190863	3.02633	0.084026	3.10362	2.21407
1300	24520.60428	6899.008186	0.838088	0.196914	3.00815	0.0436051	3.12853	2.21407
1400	25456.62567	8303.013227	0.824911	0.211403	3.01129	0.0883059	3.11659	2.23903
1500	28193.61202	8587.686625	0.808133	0.24399	2.99053	0.0838516	3.19198	2.25566
1600	30011.30978	8575.209806	0.817884	0.225706	2.99625	0.0787974	3.11788	2.20154
1700	31854.51913	9120.160486	0.819847	0.210622	2.98518	0.0536788	3.14393	2.25688
1800	34585.46111	10491.22916	0.795886	0.250493	2.99622	0.0517968	3.15751	2.25421
1900	39014.78889	11656.31171	0.798066	0.265268	3.00832	0.0496598	3.32843	2.34314
2000	39789.80208	11920.15314	0.850655	0.16678	3.0082	0.0728084	3.19827	2.24982
2100	41499.99457	10630.49977	0.825157	0.232063	2.99171	0.058169	3.13727	2.18778
2200	45769.51087	13716.65541	0.833639	0.207451	3.00073	0.031163	3.26503	2.30992
2300	48228.32432	13932.40475	0.832776	0.221298	3.01209	0.0544857	3.38469	2.38521
2400	48685.40437	13358.02741	0.817408	0.245735	3.02933	0.039608	3.32245	2.34786
2500	49614.56831	13464.92555	0.814808	0.237333	2.99288	0.0438607	3.23023	2.25045
2600	56058.03429	16096.63668	0.785408	0.286168	3.02154	0.0631738	3.4369	2.4364
2700	55004.75824	17337.10093	0.807633	0.24313	3.00074	0.050648	3.26261	2.31265
2800	58795.10106	17483.54705	0.843945	0.188951	2.99364	0.046632	3.3732	2.3828
2900	61970.11667	17744.41628	0.805131	0.258106	2.99172	0.0502024	3.40173	2.39832
3000	66543.40659	20522.17392	0.813332	0.24354	2.99447	0.0435975	3.51402	2.50658
3100	68603.64398	20322.20161	0.847658	0.195302	3.00277	0.0319093	3.5331	2.50266
3200	69930.26816	21897.23961	0.801211	0.260044	3.00431	0.0294118	3.31995	2.33969
3300	73122.86022	21340.64874	0.828403	0.213981	2.99794	0.0335915	3.4316	2.42471
3400	78370.78723	21489.44192	0.846065	0.209831	3.00165	0.0318225	3.579	2.50615
3500	88343.53005	24638.58307	0.831949	0.245853	3.02491	0.0284495	3.65871	2.5684
3600	79922.4734	25035.21783	0.83445	0.21165	2.99989	0.0410767	3.44194	2.45276
