100	2.25E+05	7.42E+04	7.0550	4.2629	200
150	5.48E+05	1.34E+05	8.3550	4.3034	200
200	1.03E+06	3.83E+05	9.3900	4.7799	200
250	1.77E+06	6.25E+05	10.2150	6.0307	200
300	2.92E+06	7.72E+05	9.8400	5.5068	200
350	4.31E+06	1.12E+06	11.2350	6.2346	200
400	4.92E+06	1.10E+06	10.6650	5.6101	200
450	7.69E+06	1.94E+06	12.2050	6.1720	200
500	9.40E+06	2.50E+06	10.9300	5.5996	200
550	1.20E+07	3.22E+06	12.0000	6.5452	200
600	1.57E+07	4.14E+06	13.5950	7.3513	200
650	2.11E+07	8.88E+06	14.6350	8.4989	200
700	2.00E+07	5.08E+06	13.1550	7.1778	200
750	2.38E+07	5.70E+06	13.6200	7.6541	200
800	3.85E+07	1.08E+07	14.3000	7.0520	200
850	4.79E+07	1.62E+07	15.6250	8.6951	200
900	5.94E+07	1.91E+07	15.5420	9.6924	131
950	6.72E+07	2.90E+07	16.5700	10.0342	100
1000	7.36E+07	1.86E+07	15.4200	7.7932	200
1050	9.35E+07	2.73E+07	15.5700	9.0490	100
1100	1.15E+08	3.66E+07	17.2700	8.2485	100
1150	1.14E+08	3.80E+07	15.8900	10.1832	100
1200	1.05E+08	3.23E+07	15.5495	9.4883	91
