100	7.72E+05	1.09E+05	10.0950	0.2715	400
150	2.73E+06	1.74E+06	11.5450	6.3457	400
200	6.44E+06	2.11E+06	12.9575	7.2802	400
250	9.11E+06	2.77E+06	13.6575	6.9739	400
300	1.52E+07	4.50E+06	14.5275	7.4057	400
350	1.30E+07	1.62E+06	14.7475	7.4836	400
400	2.50E+07	6.30E+06	16.9231	9.0395	273
450	3.48E+07	6.30E+06	17.3933	8.9766	300
500	3.05E+07	5.85E+06	16.2133	8.8292	300
550	4.94E+07	9.49E+06	17.5900	9.8787	300
600	8.96E+07	2.43E+07	19.2182	10.4711	110
650	1.18E+08	4.43E+07	19.1300	10.3195	100
700	1.08E+08	2.56E+07	18.6500	10.4325	200
750	1.65E+08	6.69E+07	20.2300	9.8431	200
800	1.80E+08	4.09E+07	22.8450	11.2921	200
850	1.47E+08	2.33E+07	20.4050	10.4351	200
900	2.06E+08	5.75E+07	21.0400	11.1914	200
950	1.97E+08	3.23E+07	20.6750	11.1225	200
1000	2.72E+08	5.15E+07	19.5500	9.6337	200
1050	4.07E+08	8.23E+07	22.7100	12.9818	200
1100	4.07E+08	7.33E+07	22.3850	10.6774	200
1150	4.22E+08	8.90E+07	22.0800	11.5154	200
1200	5.64E+08	1.52E+08	20.3550	10.8692	200
