100	1.71E+04	2.82E+03	0.9293	0.0655	4.0386	1.5398	2204
150	4.60E+04	7.23E+03	0.9299	0.0640	4.6035	1.7652	2383
200	1.07E+05	2.17E+04	0.9260	0.0638	5.0883	2.0183	2361
250	1.90E+05	3.76E+04	0.9216	0.0633	5.4380	2.1129	2370
300	3.38E+05	6.19E+04	0.9205	0.0663	6.1411	2.4715	2420
350	4.85E+05	7.50E+04	0.9216	0.0627	6.0329	2.0899	2413
400	7.83E+05	1.51E+05	0.9149	0.0669	6.4166	2.4156	1810
450	1.18E+06	2.17E+05	0.9141	0.0690	7.0658	2.5993	1942
500	1.43E+06	3.37E+05	0.9011	0.0708	6.8072	2.3422	1908
550	1.92E+06	3.83E+05	0.9039	0.0718	7.4383	2.5249	1842
600	2.99E+06	7.92E+05	0.8959	0.0690	8.2264	3.0175	1092
650	3.58E+06	1.37E+06	0.8951	0.0690	8.4837	2.9933	994
700	4.05E+06	9.75E+05	0.8867	0.0714	8.3473	2.8877	1015
750	6.02E+06	1.84E+06	0.8807	0.0724	8.6644	2.9456	996
800	7.71E+06	2.07E+06	0.8832	0.0725	9.1611	3.0632	1002
850	9.95E+06	2.50E+06	0.8801	0.0725	9.8565	3.4837	993
900	1.15E+07	3.69E+06	0.8828	0.0730	9.6926	3.1269	687
950	1.42E+07	3.65E+06	0.8835	0.0733	9.8161	2.9929	647
1000	1.58E+07	3.81E+06	0.8734	0.0709	10.2942	3.2231	914
1050	2.38E+07	7.11E+06	0.8743	0.0705	11.2055	3.8725	632
1100	2.57E+07	6.67E+06	0.8792	0.0720	11.1351	3.2819	644
1150	2.73E+07	8.38E+06	0.8734	0.0716	11.2860	3.4865	603
1200	2.60E+07	8.63E+06	0.8653	0.0692	10.7893	3.3025	553
